,tt ro con ec00 °c cet min15 f 2024-05-17T00:00:00+02:00
2024-05-18 13:30:00+02:00,20.5
2024-05-18 13:45:00+02:00,20.5
2024-05-18 14:00:00+02:00,21.1
2024-05-18 14:15:00+02:00,21.1
2024-05-18 14:30:00+02:00,21.1
2024-05-18 14:45:00+02:00,21.1
2024-05-18 15:00:00+02:00,21.4
2024-05-18 15:15:00+02:00,21.4
2024-05-18 15:30:00+02:00,21.4
2024-05-18 15:45:00+02:00,21.4
2024-05-18 16:00:00+02:00,21.4
2024-05-18 16:15:00+02:00,21.4
2024-05-18 16:30:00+02:00,21.4
2024-05-18 16:45:00+02:00,21.4
2024-05-18 17:00:00+02:00,20.9
2024-05-18 17:15:00+02:00,20.9
2024-05-18 17:30:00+02:00,20.9
2024-05-18 17:45:00+02:00,20.9
2024-05-18 18:00:00+02:00,19.8
2024-05-18 18:15:00+02:00,19.8
2024-05-18 18:30:00+02:00,19.8
2024-05-18 18:45:00+02:00,19.8
2024-05-18 19:00:00+02:00,17.8
2024-05-18 19:15:00+02:00,17.8
2024-05-18 19:30:00+02:00,17.8
2024-05-18 19:45:00+02:00,17.8
2024-05-18 20:00:00+02:00,16.2
2024-05-18 20:15:00+02:00,16.2
2024-05-18 20:30:00+02:00,16.2
2024-05-18 20:45:00+02:00,16.2
2024-05-18 21:00:00+02:00,15.5
2024-05-18 21:15:00+02:00,15.5
2024-05-18 21:30:00+02:00,15.5
2024-05-18 21:45:00+02:00,15.5
2024-05-18 22:00:00+02:00,14.8
2024-05-18 22:15:00+02:00,14.8
2024-05-18 22:30:00+02:00,14.8
2024-05-18 22:45:00+02:00,14.8
2024-05-18 23:00:00+02:00,14.0
2024-05-18 23:15:00+02:00,14.0
2024-05-18 23:30:00+02:00,14.0
2024-05-18 23:45:00+02:00,14.0
2024-05-19 00:00:00+02:00,13.3
2024-05-19 00:15:00+02:00,13.3
2024-05-19 00:30:00+02:00,13.3
2024-05-19 00:45:00+02:00,13.3
2024-05-19 01:00:00+02:00,12.8
2024-05-19 01:15:00+02:00,12.8
2024-05-19 01:30:00+02:00,12.8
2024-05-19 01:45:00+02:00,12.8
2024-05-19 02:00:00+02:00,12.2
2024-05-19 02:15:00+02:00,12.2
2024-05-19 02:30:00+02:00,12.2
2024-05-19 02:45:00+02:00,12.2
2024-05-19 03:00:00+02:00,11.8
2024-05-19 03:15:00+02:00,11.8
2024-05-19 03:30:00+02:00,11.8
2024-05-19 03:45:00+02:00,11.8
2024-05-19 04:00:00+02:00,11.5
2024-05-19 04:15:00+02:00,11.5
2024-05-19 04:30:00+02:00,11.5
2024-05-19 04:45:00+02:00,11.5
2024-05-19 05:00:00+02:00,11.9
2024-05-19 05:15:00+02:00,11.9
2024-05-19 05:30:00+02:00,11.9
2024-05-19 05:45:00+02:00,11.9
2024-05-19 06:00:00+02:00,13.3
2024-05-19 06:15:00+02:00,13.3
2024-05-19 06:30:00+02:00,13.3
2024-05-19 06:45:00+02:00,13.3
2024-05-19 07:00:00+02:00,15.4
2024-05-19 07:15:00+02:00,15.4
2024-05-19 07:30:00+02:00,15.4
2024-05-19 07:45:00+02:00,15.4
2024-05-19 08:00:00+02:00,17.9
2024-05-19 08:15:00+02:00,17.9
2024-05-19 08:30:00+02:00,17.9
2024-05-19 08:45:00+02:00,17.9
2024-05-19 09:00:00+02:00,20.1
2024-05-19 09:15:00+02:00,20.1
2024-05-19 09:30:00+02:00,20.1
2024-05-19 09:45:00+02:00,20.1
2024-05-19 10:00:00+02:00,21.6
2024-05-19 10:15:00+02:00,21.6
2024-05-19 10:30:00+02:00,21.6
2024-05-19 10:45:00+02:00,21.6
2024-05-19 11:00:00+02:00,22.4
2024-05-19 11:15:00+02:00,22.4
2024-05-19 11:30:00+02:00,22.4
2024-05-19 11:45:00+02:00,22.4
2024-05-19 12:00:00+02:00,23.0
2024-05-19 12:15:00+02:00,23.0
2024-05-19 12:30:00+02:00,23.0
2024-05-19 12:45:00+02:00,23.0
2024-05-19 13:00:00+02:00,23.5
2024-05-19 13:15:00+02:00,23.5
2024-05-19 13:30:00+02:00,23.5
2024-05-19 13:45:00+02:00,23.5
2024-05-19 14:00:00+02:00,23.9
2024-05-19 14:15:00+02:00,23.9
2024-05-19 14:30:00+02:00,23.9
2024-05-19 14:45:00+02:00,23.9
2024-05-19 15:00:00+02:00,24.0
2024-05-19 15:15:00+02:00,24.0
2024-05-19 15:30:00+02:00,24.0
2024-05-19 15:45:00+02:00,24.0
2024-05-19 16:00:00+02:00,23.9
2024-05-19 16:15:00+02:00,23.9
2024-05-19 16:30:00+02:00,23.9
2024-05-19 16:45:00+02:00,23.9
2024-05-19 17:00:00+02:00,23.5
2024-05-19 17:15:00+02:00,23.5
2024-05-19 17:30:00+02:00,23.5
2024-05-19 17:45:00+02:00,23.5
2024-05-19 18:00:00+02:00,22.3
2024-05-19 18:15:00+02:00,22.3
2024-05-19 18:30:00+02:00,22.3
2024-05-19 18:45:00+02:00,22.3
2024-05-19 19:00:00+02:00,20.8
2024-05-19 19:15:00+02:00,20.8
2024-05-19 19:30:00+02:00,20.8
2024-05-19 19:45:00+02:00,20.8
2024-05-19 20:00:00+02:00,19.5
2024-05-19 20:15:00+02:00,19.5
2024-05-19 20:30:00+02:00,19.5
2024-05-19 20:45:00+02:00,19.5
2024-05-19 21:00:00+02:00,18.3
2024-05-19 21:15:00+02:00,18.3
2024-05-19 21:30:00+02:00,18.3
2024-05-19 21:45:00+02:00,18.3
2024-05-19 22:00:00+02:00,17.3
2024-05-19 22:15:00+02:00,17.3
2024-05-19 22:30:00+02:00,17.3
2024-05-19 22:45:00+02:00,17.3
2024-05-19 23:00:00+02:00,16.3
2024-05-19 23:15:00+02:00,16.3
2024-05-19 23:30:00+02:00,16.3
2024-05-19 23:45:00+02:00,16.3
2024-05-20 00:00:00+02:00,15.4
2024-05-20 00:15:00+02:00,15.4
2024-05-20 00:30:00+02:00,15.4
2024-05-20 00:45:00+02:00,15.4
2024-05-20 01:00:00+02:00,14.6
2024-05-20 01:15:00+02:00,14.6
2024-05-20 01:30:00+02:00,14.6
2024-05-20 01:45:00+02:00,14.6
2024-05-20 02:00:00+02:00,14.1
2024-05-20 02:15:00+02:00,14.1
2024-05-20 02:30:00+02:00,14.1
2024-05-20 02:45:00+02:00,14.1
2024-05-20 03:00:00+02:00,13.6
2024-05-20 03:15:00+02:00,13.6
2024-05-20 03:30:00+02:00,13.6
2024-05-20 03:45:00+02:00,13.6
2024-05-20 04:00:00+02:00,13.3
2024-05-20 04:15:00+02:00,13.3
2024-05-20 04:30:00+02:00,13.3
2024-05-20 04:45:00+02:00,13.3
2024-05-20 05:00:00+02:00,13.6
2024-05-20 05:15:00+02:00,13.6
2024-05-20 05:30:00+02:00,13.6
2024-05-20 05:45:00+02:00,13.6
2024-05-20 06:00:00+02:00,14.8
2024-05-20 06:15:00+02:00,14.8
2024-05-20 06:30:00+02:00,14.8
2024-05-20 06:45:00+02:00,14.8
2024-05-20 07:00:00+02:00,16.4
2024-05-20 07:15:00+02:00,16.4
2024-05-20 07:30:00+02:00,16.4
2024-05-20 07:45:00+02:00,16.4
2024-05-20 08:00:00+02:00,18.0
2024-05-20 08:15:00+02:00,18.0
2024-05-20 08:30:00+02:00,18.0
2024-05-20 08:45:00+02:00,18.0
2024-05-20 09:00:00+02:00,19.3
2024-05-20 09:15:00+02:00,19.3
2024-05-20 09:30:00+02:00,19.3
2024-05-20 09:45:00+02:00,19.3
2024-05-20 10:00:00+02:00,20.7
2024-05-20 10:15:00+02:00,20.7
2024-05-20 10:30:00+02:00,20.7
2024-05-20 10:45:00+02:00,20.7
2024-05-20 11:00:00+02:00,22.1
2024-05-20 11:15:00+02:00,22.1
2024-05-20 11:30:00+02:00,22.1
2024-05-20 11:45:00+02:00,22.1
2024-05-20 12:00:00+02:00,23.0
2024-05-20 12:15:00+02:00,23.0
2024-05-20 12:30:00+02:00,23.0
2024-05-20 12:45:00+02:00,23.0
2024-05-20 13:00:00+02:00,23.3
2024-05-20 13:15:00+02:00,23.3
2024-05-20 13:30:00+02:00,23.3
2024-05-20 13:45:00+02:00,23.3
2024-05-20 14:00:00+02:00,23.5
2024-05-20 14:15:00+02:00,23.5
2024-05-20 14:30:00+02:00,23.5
2024-05-20 14:45:00+02:00,23.5
2024-05-20 15:00:00+02:00,23.2
2024-05-20 15:15:00+02:00,23.2
2024-05-20 15:30:00+02:00,23.2
2024-05-20 15:45:00+02:00,23.2
2024-05-20 16:00:00+02:00,22.8
2024-05-20 16:15:00+02:00,22.8
2024-05-20 16:30:00+02:00,22.8
2024-05-20 16:45:00+02:00,22.8
2024-05-20 17:00:00+02:00,22.3
2024-05-20 17:15:00+02:00,22.3
2024-05-20 17:30:00+02:00,22.3
2024-05-20 17:45:00+02:00,22.3
2024-05-20 18:00:00+02:00,21.3
