,pri ro spot ec12ens ron/mwh cet h f Avg 2024-04-09T00:00:00+02:00
2024-04-14 14:00:00+02:00,10.002441333333334
2024-04-14 15:00:00+02:00,24.20536250980392
2024-04-14 16:00:00+02:00,61.10665586274509
2024-04-14 17:00:00+02:00,146.94860490196078
2024-04-14 18:00:00+02:00,232.88017456862744
2024-04-14 19:00:00+02:00,315.79678943137253
2024-04-14 20:00:00+02:00,328.9719958039216
2024-04-14 21:00:00+02:00,302.8183587843137
2024-04-14 22:00:00+02:00,257.4011575490196
2024-04-14 23:00:00+02:00,262.3692575490196
2024-04-15 00:00:00+02:00,243.43202931372545
2024-04-15 01:00:00+02:00,228.09131582352938
2024-04-15 02:00:00+02:00,206.85512366666663
2024-04-15 03:00:00+02:00,205.7903916470588
2024-04-15 04:00:00+02:00,226.45086868627453
2024-04-15 05:00:00+02:00,255.0583574509804
2024-04-15 06:00:00+02:00,319.5394247647058
2024-04-15 07:00:00+02:00,367.31598643137255
2024-04-15 08:00:00+02:00,308.7907942941176
2024-04-15 09:00:00+02:00,241.39705658823527
2024-04-15 10:00:00+02:00,184.7071390392157
2024-04-15 11:00:00+02:00,154.42705660784313
2024-04-15 12:00:00+02:00,134.06174315686275
2024-04-15 13:00:00+02:00,116.05481599999999
2024-04-15 14:00:00+02:00,118.37034025490196
2024-04-15 15:00:00+02:00,140.07704070588235
2024-04-15 16:00:00+02:00,170.5159075098039
2024-04-15 17:00:00+02:00,240.12775574509803
2024-04-15 18:00:00+02:00,333.935225117647
2024-04-15 19:00:00+02:00,404.2484521764706
2024-04-15 20:00:00+02:00,395.08669129411766
2024-04-15 21:00:00+02:00,327.28576421568624
2024-04-15 22:00:00+02:00,258.5126481568627
2024-04-15 23:00:00+02:00,187.96855056862745
2024-04-16 00:00:00+02:00,193.82019305882352
2024-04-16 01:00:00+02:00,199.60949076470587
2024-04-16 02:00:00+02:00,191.92257368627452
2024-04-16 03:00:00+02:00,190.90070370588236
2024-04-16 04:00:00+02:00,202.93129880392158
2024-04-16 05:00:00+02:00,212.0453269607843
2024-04-16 06:00:00+02:00,300.03719692156864
2024-04-16 07:00:00+02:00,346.5951128823529
2024-04-16 08:00:00+02:00,310.1419226666667
2024-04-16 09:00:00+02:00,255.93410684313724
2024-04-16 10:00:00+02:00,202.24160962745097
2024-04-16 11:00:00+02:00,177.1195839607843
2024-04-16 12:00:00+02:00,152.55184239215686
2024-04-16 13:00:00+02:00,114.1289466470588
2024-04-16 14:00:00+02:00,122.78123374509804
2024-04-16 15:00:00+02:00,150.5373265490196
2024-04-16 16:00:00+02:00,187.23405107843138
2024-04-16 17:00:00+02:00,259.75467315686274
2024-04-16 18:00:00+02:00,338.51464435294116
2024-04-16 19:00:00+02:00,408.8756041372549
2024-04-16 20:00:00+02:00,411.5145419607843
2024-04-16 21:00:00+02:00,354.9366501960784
2024-04-16 22:00:00+02:00,295.48602766666664
2024-04-16 23:00:00+02:00,245.3403641960784
2024-04-17 00:00:00+02:00,242.45302137254902
2024-04-17 01:00:00+02:00,220.75021747058824
2024-04-17 02:00:00+02:00,216.09676380392156
2024-04-17 03:00:00+02:00,216.74261680392158
2024-04-17 04:00:00+02:00,226.48106694117646
2024-04-17 05:00:00+02:00,265.1445745882353
2024-04-17 06:00:00+02:00,336.4416802745098
2024-04-17 07:00:00+02:00,388.9369628039216
2024-04-17 08:00:00+02:00,346.9068368039216
2024-04-17 09:00:00+02:00,299.4838869607843
2024-04-17 10:00:00+02:00,249.93829203921567
2024-04-17 11:00:00+02:00,208.2763899215686
2024-04-17 12:00:00+02:00,182.3224510392157
2024-04-17 13:00:00+02:00,158.66552780392158
2024-04-17 14:00:00+02:00,166.3407552352941
2024-04-17 15:00:00+02:00,190.3327816862745
2024-04-17 16:00:00+02:00,228.51311725490197
2024-04-17 17:00:00+02:00,295.6954671764706
2024-04-17 18:00:00+02:00,374.0102576470588
2024-04-17 19:00:00+02:00,451.8360312156862
2024-04-17 20:00:00+02:00,444.0624159215686
2024-04-17 21:00:00+02:00,387.9160669607843
2024-04-17 22:00:00+02:00,340.8876427058824
2024-04-17 23:00:00+02:00,297.58919
2024-04-18 00:00:00+02:00,279.27443547058823
2024-04-18 01:00:00+02:00,260.50281056862747
2024-04-18 02:00:00+02:00,253.8825737843137
2024-04-18 03:00:00+02:00,255.7646069607843
2024-04-18 04:00:00+02:00,267.3509954705882
2024-04-18 05:00:00+02:00,306.0817185882353
2024-04-18 06:00:00+02:00,366.12461656862746
2024-04-18 07:00:00+02:00,413.38098894117644
2024-04-18 08:00:00+02:00,370.8374926078431
2024-04-18 09:00:00+02:00,322.94890515686274
2024-04-18 10:00:00+02:00,271.30988927450977
2024-04-18 11:00:00+02:00,236.94524933333332
2024-04-18 12:00:00+02:00,214.49430801960781
2024-04-18 13:00:00+02:00,198.16387107843138
2024-04-18 14:00:00+02:00,206.98370978431373
2024-04-18 15:00:00+02:00,226.296955
2024-04-18 16:00:00+02:00,262.09649911764706
2024-04-18 17:00:00+02:00,323.7506201176471
2024-04-18 18:00:00+02:00,398.48350790196076
2024-04-18 19:00:00+02:00,456.0822955098039
2024-04-18 20:00:00+02:00,451.92272943137255
2024-04-18 21:00:00+02:00,404.4335382549019
2024-04-18 22:00:00+02:00,368.9535111568627
2024-04-18 23:00:00+02:00,326.4197561960784
2024-04-19 00:00:00+02:00,297.29012986274506
2024-04-19 01:00:00+02:00,276.49132533333335
2024-04-19 02:00:00+02:00,267.9647019411765
2024-04-19 03:00:00+02:00,271.7258458823529
2024-04-19 04:00:00+02:00,280.031340117647
2024-04-19 05:00:00+02:00,318.6402960784314
2024-04-19 06:00:00+02:00,372.66887064705884
2024-04-19 07:00:00+02:00,405.67653739215683
2024-04-19 08:00:00+02:00,358.9306129411765
2024-04-19 09:00:00+02:00,312.03174894117643
2024-04-19 10:00:00+02:00,263.69408421568625
2024-04-19 11:00:00+02:00,238.9772996470588
2024-04-19 12:00:00+02:00,198.88862919607843
2024-04-19 13:00:00+02:00,172.04140645098036
2024-04-19 14:00:00+02:00,181.40189133333334
2024-04-19 15:00:00+02:00,206.49858943137252
2024-04-19 16:00:00+02:00,248.93395652941172
2024-04-19 17:00:00+02:00,321.1730529411764
2024-04-19 18:00:00+02:00,387.9550324509804
2024-04-19 19:00:00+02:00,444.3945967254902
2024-04-19 20:00:00+02:00,436.19820586274506
2024-04-19 21:00:00+02:00,391.86229698039216
2024-04-19 22:00:00+02:00,358.4045788235294
2024-04-19 23:00:00+02:00,315.4431776078431
2024-04-20 00:00:00+02:00,298.4902669607843
2024-04-20 01:00:00+02:00,275.362300254902
2024-04-20 02:00:00+02:00,260.9801378235294
2024-04-20 03:00:00+02:00,253.37797068627452
2024-04-20 04:00:00+02:00,253.91569445098037
2024-04-20 05:00:00+02:00,271.29625135294117
2024-04-20 06:00:00+02:00,268.9846236470588
