,pro ro wnd ec00 mwh/h cet min15 f 2024-09-17T00:00:00+02:00
2024-09-18 03:30:00+02:00,671.2654297272077
2024-09-18 03:45:00+02:00,671.2654297272077
2024-09-18 04:00:00+02:00,817.1610383933377
2024-09-18 04:15:00+02:00,817.1610383933377
2024-09-18 04:30:00+02:00,817.1610383933377
2024-09-18 04:45:00+02:00,817.1610383933377
2024-09-18 05:00:00+02:00,919.8598682110238
2024-09-18 05:15:00+02:00,919.8598682110238
2024-09-18 05:30:00+02:00,919.8598682110238
2024-09-18 05:45:00+02:00,919.8598682110238
2024-09-18 06:00:00+02:00,930.9919956519344
2024-09-18 06:15:00+02:00,930.9919956519344
2024-09-18 06:30:00+02:00,930.9919956519344
2024-09-18 06:45:00+02:00,930.9919956519344
2024-09-18 07:00:00+02:00,866.9680369611239
2024-09-18 07:15:00+02:00,866.9680369611239
2024-09-18 07:30:00+02:00,866.9680369611239
2024-09-18 07:45:00+02:00,866.9680369611239
2024-09-18 08:00:00+02:00,668.559609073053
2024-09-18 08:15:00+02:00,668.559609073053
2024-09-18 08:30:00+02:00,668.559609073053
2024-09-18 08:45:00+02:00,668.559609073053
2024-09-18 09:00:00+02:00,577.7870597381266
2024-09-18 09:15:00+02:00,577.7870597381266
2024-09-18 09:30:00+02:00,577.7870597381266
2024-09-18 09:45:00+02:00,577.7870597381266
2024-09-18 10:00:00+02:00,537.1781625689657
2024-09-18 10:15:00+02:00,537.1781625689657
2024-09-18 10:30:00+02:00,537.1781625689657
2024-09-18 10:45:00+02:00,537.1781625689657
2024-09-18 11:00:00+02:00,658.8810951963712
2024-09-18 11:15:00+02:00,658.8810951963712
2024-09-18 11:30:00+02:00,658.8810951963712
2024-09-18 11:45:00+02:00,658.8810951963712
2024-09-18 12:00:00+02:00,744.9182994136305
2024-09-18 12:15:00+02:00,744.9182994136305
2024-09-18 12:30:00+02:00,744.9182994136305
2024-09-18 12:45:00+02:00,744.9182994136305
2024-09-18 13:00:00+02:00,889.4315166488925
2024-09-18 13:15:00+02:00,889.4315166488925
2024-09-18 13:30:00+02:00,889.4315166488925
2024-09-18 13:45:00+02:00,889.4315166488925
2024-09-18 14:00:00+02:00,963.6576631052199
2024-09-18 14:15:00+02:00,963.6576631052199
2024-09-18 14:30:00+02:00,963.6576631052199
2024-09-18 14:45:00+02:00,963.6576631052199
2024-09-18 15:00:00+02:00,950.3270786866678
2024-09-18 15:15:00+02:00,950.3270786866678
2024-09-18 15:30:00+02:00,950.3270786866678
2024-09-18 15:45:00+02:00,950.3270786866678
2024-09-18 16:00:00+02:00,816.3292924480461
2024-09-18 16:15:00+02:00,816.3292924480461
2024-09-18 16:30:00+02:00,816.3292924480461
2024-09-18 16:45:00+02:00,816.3292924480461
2024-09-18 17:00:00+02:00,701.7351408384386
2024-09-18 17:15:00+02:00,701.7351408384386
2024-09-18 17:30:00+02:00,701.7351408384386
2024-09-18 17:45:00+02:00,701.7351408384386
2024-09-18 18:00:00+02:00,630.9919068361401
2024-09-18 18:15:00+02:00,630.9919068361401
2024-09-18 18:30:00+02:00,630.9919068361401
2024-09-18 18:45:00+02:00,630.9919068361401
2024-09-18 19:00:00+02:00,578.8727044007683
2024-09-18 19:15:00+02:00,578.8727044007683
2024-09-18 19:30:00+02:00,578.8727044007683
2024-09-18 19:45:00+02:00,578.8727044007683
2024-09-18 20:00:00+02:00,509.7582181425203
2024-09-18 20:15:00+02:00,509.7582181425203
2024-09-18 20:30:00+02:00,509.7582181425203
2024-09-18 20:45:00+02:00,509.7582181425203
2024-09-18 21:00:00+02:00,460.2400064236889
2024-09-18 21:15:00+02:00,460.2400064236889
2024-09-18 21:30:00+02:00,460.2400064236889
2024-09-18 21:45:00+02:00,460.2400064236889
2024-09-18 22:00:00+02:00,504.49347711665644
2024-09-18 22:15:00+02:00,504.49347711665644
2024-09-18 22:30:00+02:00,504.49347711665644
2024-09-18 22:45:00+02:00,504.49347711665644
2024-09-18 23:00:00+02:00,627.3302213027661
2024-09-18 23:15:00+02:00,627.3302213027661
2024-09-18 23:30:00+02:00,627.3302213027661
2024-09-18 23:45:00+02:00,627.3302213027661
2024-09-19 00:00:00+02:00,770.5333709185313
2024-09-19 00:15:00+02:00,770.5333709185313
2024-09-19 00:30:00+02:00,770.5333709185313
2024-09-19 00:45:00+02:00,770.5333709185313
2024-09-19 01:00:00+02:00,876.6035574209002
2024-09-19 01:15:00+02:00,876.6035574209002
2024-09-19 01:30:00+02:00,876.6035574209002
2024-09-19 01:45:00+02:00,876.6035574209002
2024-09-19 02:00:00+02:00,969.4193796381027
2024-09-19 02:15:00+02:00,969.4193796381027
2024-09-19 02:30:00+02:00,969.4193796381027
2024-09-19 02:45:00+02:00,969.4193796381027
2024-09-19 03:00:00+02:00,1044.089009414691
2024-09-19 03:15:00+02:00,1044.089009414691
2024-09-19 03:30:00+02:00,1044.089009414691
2024-09-19 03:45:00+02:00,1044.089009414691
2024-09-19 04:00:00+02:00,1065.2265842978275
2024-09-19 04:15:00+02:00,1065.2265842978275
2024-09-19 04:30:00+02:00,1065.2265842978275
2024-09-19 04:45:00+02:00,1065.2265842978275
2024-09-19 05:00:00+02:00,1019.4594580992004
2024-09-19 05:15:00+02:00,1019.4594580992004
2024-09-19 05:30:00+02:00,1019.4594580992004
2024-09-19 05:45:00+02:00,1019.4594580992004
2024-09-19 06:00:00+02:00,965.9305891860042
2024-09-19 06:15:00+02:00,965.9305891860042
2024-09-19 06:30:00+02:00,965.9305891860042
2024-09-19 06:45:00+02:00,965.9305891860042
2024-09-19 07:00:00+02:00,880.740728558615
2024-09-19 07:15:00+02:00,880.740728558615
2024-09-19 07:30:00+02:00,880.740728558615
2024-09-19 07:45:00+02:00,880.740728558615
2024-09-19 08:00:00+02:00,837.9832690195178
2024-09-19 08:15:00+02:00,837.9832690195178
2024-09-19 08:30:00+02:00,837.9832690195178
2024-09-19 08:45:00+02:00,837.9832690195178
2024-09-19 09:00:00+02:00,726.3072043855016
2024-09-19 09:15:00+02:00,726.3072043855016
2024-09-19 09:30:00+02:00,726.3072043855016
2024-09-19 09:45:00+02:00,726.3072043855016
2024-09-19 10:00:00+02:00,642.2786706330124
2024-09-19 10:15:00+02:00,642.2786706330124
2024-09-19 10:30:00+02:00,642.2786706330124
2024-09-19 10:45:00+02:00,642.2786706330124
2024-09-19 11:00:00+02:00,521.3852653149677
2024-09-19 11:15:00+02:00,521.3852653149677
2024-09-19 11:30:00+02:00,521.3852653149677
2024-09-19 11:45:00+02:00,521.3852653149677
2024-09-19 12:00:00+02:00,479.4031954763896
2024-09-19 12:15:00+02:00,479.4031954763896
2024-09-19 12:30:00+02:00,479.4031954763896
2024-09-19 12:45:00+02:00,479.4031954763896
2024-09-19 13:00:00+02:00,506.1861074465025
2024-09-19 13:15:00+02:00,506.1861074465025
2024-09-19 13:30:00+02:00,506.1861074465025
2024-09-19 13:45:00+02:00,506.1861074465025
2024-09-19 14:00:00+02:00,579.6868905384208
2024-09-19 14:15:00+02:00,579.6868905384208
2024-09-19 14:30:00+02:00,579.6868905384208
2024-09-19 14:45:00+02:00,579.6868905384208
2024-09-19 15:00:00+02:00,667.9628907602968
2024-09-19 15:15:00+02:00,667.9628907602968
2024-09-19 15:30:00+02:00,667.9628907602968
2024-09-19 15:45:00+02:00,667.9628907602968
2024-09-19 16:00:00+02:00,744.9509425471816
2024-09-19 16:15:00+02:00,744.9509425471816
2024-09-19 16:30:00+02:00,744.9509425471816
2024-09-19 16:45:00+02:00,744.9509425471816
2024-09-19 17:00:00+02:00,849.1113588461964
2024-09-19 17:15:00+02:00,849.1113588461964
2024-09-19 17:30:00+02:00,849.1113588461964
2024-09-19 17:45:00+02:00,849.1113588461964
2024-09-19 18:00:00+02:00,986.8500221917247
2024-09-19 18:15:00+02:00,986.8500221917247
2024-09-19 18:30:00+02:00,986.8500221917247
2024-09-19 18:45:00+02:00,986.8500221917247
2024-09-19 19:00:00+02:00,1200.7736484076427
2024-09-19 19:15:00+02:00,1200.7736484076427
2024-09-19 19:30:00+02:00,1200.7736484076427
2024-09-19 19:45:00+02:00,1200.7736484076427
