,pro ro spv ec00 mwh/h cet min15 f 2024-09-17T00:00:00+02:00
2024-09-17 00:00:00+02:00,0.0
2024-09-17 00:15:00+02:00,0.0
2024-09-17 00:30:00+02:00,0.0
2024-09-17 00:45:00+02:00,0.0
2024-09-17 01:00:00+02:00,0.0
2024-09-17 01:15:00+02:00,0.0
2024-09-17 01:30:00+02:00,0.0
2024-09-17 01:45:00+02:00,0.0
2024-09-17 02:00:00+02:00,0.0
2024-09-17 02:15:00+02:00,0.0
2024-09-17 02:30:00+02:00,0.0
2024-09-17 02:45:00+02:00,0.0
2024-09-17 03:00:00+02:00,0.0
2024-09-17 03:15:00+02:00,0.0
2024-09-17 03:30:00+02:00,0.0
2024-09-17 03:45:00+02:00,0.0
2024-09-17 04:00:00+02:00,0.0
2024-09-17 04:15:00+02:00,0.0
2024-09-17 04:30:00+02:00,0.0
2024-09-17 04:45:00+02:00,0.0
2024-09-17 05:00:00+02:00,0.0129893960738463
2024-09-17 05:15:00+02:00,0.0129893960738463
2024-09-17 05:30:00+02:00,0.0129893960738463
2024-09-17 05:45:00+02:00,0.0129893960738463
2024-09-17 06:00:00+02:00,51.82055486277621
2024-09-17 06:15:00+02:00,51.82055486277621
2024-09-17 06:30:00+02:00,51.82055486277621
2024-09-17 06:45:00+02:00,51.82055486277621
2024-09-17 07:00:00+02:00,248.84522768345846
2024-09-17 07:15:00+02:00,248.84522768345846
2024-09-17 07:30:00+02:00,248.84522768345846
2024-09-17 07:45:00+02:00,248.84522768345846
2024-09-17 08:00:00+02:00,486.653476434653
2024-09-17 08:15:00+02:00,486.653476434653
2024-09-17 08:30:00+02:00,486.653476434653
2024-09-17 08:45:00+02:00,486.653476434653
2024-09-17 09:00:00+02:00,699.6162961307082
2024-09-17 09:15:00+02:00,699.6162961307082
2024-09-17 09:30:00+02:00,699.6162961307082
2024-09-17 09:45:00+02:00,699.6162961307082
2024-09-17 10:00:00+02:00,863.666112122723
2024-09-17 10:15:00+02:00,863.666112122723
2024-09-17 10:30:00+02:00,863.666112122723
2024-09-17 10:45:00+02:00,863.666112122723
2024-09-17 11:00:00+02:00,917.3201891839176
2024-09-17 11:15:00+02:00,917.3201891839176
2024-09-17 11:30:00+02:00,917.3201891839176
2024-09-17 11:45:00+02:00,917.3201891839176
2024-09-17 12:00:00+02:00,938.878314442964
2024-09-17 12:15:00+02:00,938.878314442964
2024-09-17 12:30:00+02:00,938.878314442964
2024-09-17 12:45:00+02:00,938.878314442964
2024-09-17 13:00:00+02:00,928.6958201832093
2024-09-17 13:15:00+02:00,928.6958201832093
2024-09-17 13:30:00+02:00,928.6958201832093
